student_id,study_hours,attendance_pct,previous_score,assignment_completion,sleep_hours,participation,previous_performance,performance_class
STU-1238,4.2,84.5,64.2,53.9,5.9,7,5,Average
STU-1560,4.0,77.0,77.4,86.4,7.6,8,7,Good
STU-1584,4.1,96.1,66.5,95.5,6.9,8,7,Good
STU-1446,3.4,72.4,59.7,82.4,8.6,4,4,Average
STU-1868,6.2,96.3,83.2,95.6,7.9,10,8,Excellent
STU-1801,4.6,85.4,76.7,93.3,7.5,7,6,Good
STU-1600,2.5,72.0,75.0,94.1,5.5,4,8,Good
STU-1850,4.8,96.0,93.8,92.9,8.5,7,7,Excellent
STU-1266,2.6,85.1,63.2,75.6,6.9,5,6,Average
STU-1996,7.5,91.7,89.7,94.8,8.2,7,8,Excellent
STU-1530,4.0,85.2,79.8,83.6,8.5,7,7,Good
STU-1056,1.9,62.1,66.8,66.3,4.9,1,4,Needs Improvement
STU-1121,1.8,66.1,36.8,57.7,6.0,3,3,Needs Improvement
STU-1216,1.4,66.4,57.6,53.3,8.0,1,3,Needs Improvement
STU-1026,2.5,58.2,62.5,48.0,9.9,4,2,Needs Improvement
STU-1073,1.2,52.2,42.1,39.0,5.9,2,3,Needs Improvement
STU-1045,2.3,55.6,45.8,68.5,7.0,4,5,Needs Improvement
STU-1248,4.9,72.2,62.6,72.8,6.2,6,3,Average
STU-1722,4.8,92.7,76.9,91.7,7.5,7,7,Good
STU-1282,3.1,72.4,72.9,78.3,4.0,6,5,Average
STU-1894,6.3,100.0,91.4,93.6,5.5,10,7,Excellent
STU-1915,7.9,88.3,91.5,92.2,7.2,9,9,Excellent
STU-1811,7.3,86.3,74.2,99.0,5.8,7,7,Good
STU-1245,3.1,66.2,72.7,71.9,4.0,6,4,Average
STU-1823,4.6,79.7,81.4,84.8,6.6,8,7,Good
STU-1322,2.0,72.5,71.5,71.9,8.4,3,5,Average
STU-1644,3.4,76.5,80.5,85.6,7.5,8,7,Good
STU-1159,2.4,45.4,41.8,75.0,5.5,3,4,Needs Improvement
STU-1978,6.5,91.5,87.5,100.0,6.7,10,9,Excellent
STU-1430,4.9,78.5,55.7,77.4,4.7,6,4,Average
STU-1942,6.5,90.5,91.2,94.2,6.4,10,8,Excellent
STU-1463,2.0,75.5,72.1,61.7,6.8,6,5,Average
STU-1310,4.2,86.6,57.9,65.7,5.1,5,6,Average
STU-1698,5.8,92.0,86.2,81.5,7.6,7,6,Good
STU-1061,3.7,79.1,45.5,66.6,6.8,5,2,Needs Improvement
STU-1885,6.8,99.1,94.9,91.2,6.9,9,6,Excellent
STU-1596,5.6,84.2,76.5,93.4,6.4,5,7,Good
STU-1768,6.4,78.5,71.2,79.9,7.0,7,8,Good
STU-1650,4.2,88.2,81.5,86.3,7.0,7,7,Good
STU-1651,6.2,91.0,83.2,80.7,7.0,6,6,Good
STU-1866,8.8,94.3,94.6,100.0,8.0,8,9,Excellent
STU-1669,5.5,92.6,83.2,88.6,6.9,6,9,Good
STU-1299,2.7,72.8,61.8,86.1,7.0,5,6,Average
STU-1690,4.8,85.6,79.4,87.5,7.9,8,6,Good
STU-1315,2.6,77.9,77.6,71.3,7.5,3,4,Average
STU-1311,4.1,73.4,62.8,74.4,5.6,8,3,Average
STU-1362,3.7,90.0,57.1,77.3,5.5,6,4,Average
STU-1480,3.3,69.2,63.8,73.7,4.0,5,4,Average
STU-1111,2.4,51.3,54.3,66.6,6.7,1,2,Needs Improvement
STU-1990,5.9,85.9,84.1,95.1,6.5,8,7,Excellent
STU-1487,3.4,73.2,68.1,50.2,7.4,5,5,Average
STU-1364,2.1,72.3,62.8,88.0,7.1,3,4,Average
STU-1255,2.8,68.5,55.2,72.3,4.8,6,5,Average
STU-1260,4.0,71.9,58.8,53.6,5.7,5,4,Average
STU-1803,4.3,72.0,77.0,84.9,7.5,7,7,Good
STU-1678,5.5,89.1,81.0,87.0,7.5,9,7,Good
STU-1495,3.2,64.6,76.9,88.0,6.8,6,5,Average
STU-1671,4.7,87.5,83.7,90.4,6.9,6,7,Good
STU-1378,3.6,88.5,63.5,65.4,5.8,3,4,Average
STU-1527,5.0,93.4,81.6,81.5,9.5,7,8,Good
STU-1846,5.6,97.2,81.6,97.3,6.5,9,9,Excellent
STU-1138,2.2,65.7,61.3,54.9,6.9,3,5,Needs Improvement
STU-1356,4.0,70.9,64.7,73.2,4.3,5,4,Average
STU-1366,3.7,55.0,65.0,76.0,7.7,4,5,Average
STU-1943,4.4,99.3,87.7,92.9,5.9,10,7,Excellent
STU-1750,5.5,91.8,77.9,83.1,5.5,8,7,Good
STU-1949,7.3,88.8,88.2,94.9,6.5,10,8,Excellent
STU-1830,6.6,93.1,78.8,72.0,6.7,10,7,Good
STU-1657,5.3,73.0,78.0,88.0,6.8,8,7,Good
STU-1200,1.9,53.6,49.8,31.8,4.3,4,2,Needs Improvement
STU-1214,4.1,51.2,49.8,75.0,8.8,6,5,Needs Improvement
STU-1409,2.6,72.2,73.3,74.7,6.0,6,4,Average
STU-1333,3.2,79.3,57.4,69.5,7.4,6,5,Average
STU-1209,2.5,62.6,60.9,62.1,5.6,1,3,Needs Improvement
STU-1614,4.4,77.1,76.7,94.8,5.6,5,7,Good
STU-1079,2.3,55.6,51.7,42.9,5.9,2,5,Needs Improvement
STU-1030,2.7,41.5,38.6,59.7,6.6,3,6,Needs Improvement
STU-1536,4.6,72.9,79.1,96.3,5.6,6,7,Good
STU-1696,3.1,87.1,77.8,88.0,6.6,10,8,Good
STU-1558,5.2,82.7,77.2,97.8,6.2,9,7,Good
STU-1837,5.4,80.1,69.7,75.3,5.0,6,7,Good
STU-1597,4.3,80.2,76.9,90.2,7.1,7,9,Good
STU-1166,2.7,49.7,68.0,66.7,5.3,1,6,Needs Improvement
STU-1919,5.7,100.0,96.1,93.4,6.9,6,7,Excellent
STU-1496,2.0,70.7,65.9,68.9,6.3,5,5,Average
STU-1825,5.0,76.3,89.3,85.9,7.8,6,7,Good
STU-1066,1.1,56.7,37.6,43.7,4.0,5,3,Needs Improvement
STU-1142,2.6,55.3,48.3,55.1,3.0,2,2,Needs Improvement
STU-1926,7.6,98.1,85.9,94.1,7.8,9,7,Excellent
STU-1828,4.9,76.2,65.0,88.9,7.2,6,7,Good
STU-1656,6.0,92.1,83.5,84.0,6.0,6,7,Good
STU-1332,2.6,69.5,57.3,77.0,7.5,5,7,Average
STU-1665,3.2,84.6,76.5,91.1,7.1,7,8,Good
STU-1250,4.2,66.6,66.7,81.8,7.2,5,6,Average
STU-1908,5.9,100.0,85.3,90.3,8.2,6,8,Excellent
STU-1709,4.6,92.4,77.7,90.3,6.8,5,7,Good
STU-1306,2.7,74.8,75.8,61.8,4.8,5,5,Average
STU-1735,4.1,82.0,74.6,90.5,8.1,6,8,Good
STU-1976,6.0,88.0,89.9,94.4,7.1,9,8,Excellent
STU-1050,1.3,52.3,50.3,30.3,3.7,2,3,Needs Improvement
STU-1897,6.7,89.7,88.2,95.3,8.3,8,7,Excellent
STU-1003,0.2,51.3,37.9,56.7,4.4,1,5,Needs Improvement
STU-1545,5.5,90.9,72.0,89.7,6.2,7,6,Good
STU-1351,2.4,67.3,64.5,66.6,7.4,7,4,Average
STU-1905,8.6,94.4,95.9,90.2,7.1,8,8,Excellent
STU-1537,6.1,83.3,73.8,74.2,7.2,9,7,Good
STU-1345,3.9,64.8,70.7,86.8,5.3,4,6,Average
STU-1995,10.3,94.4,95.0,95.8,7.9,8,9,Excellent
STU-1482,3.4,77.2,65.9,72.3,5.2,7,7,Average
STU-1576,4.5,81.3,76.4,97.4,7.9,8,5,Good
STU-1034,2.0,58.5,41.5,75.0,6.8,1,3,Needs Improvement
STU-1032,1.6,52.2,48.8,75.0,3.0,4,1,Needs Improvement
STU-1232,2.5,70.6,73.0,74.0,4.9,6,4,Average
STU-1964,6.3,87.7,83.3,91.5,6.7,7,9,Excellent
STU-1193,2.7,40.2,22.5,66.0,3.7,2,1,Needs Improvement
STU-1334,3.1,61.9,62.5,81.0,7.3,6,5,Average
STU-1004,1.6,58.8,33.8,43.8,6.0,1,3,Needs Improvement
STU-1205,1.6,54.7,51.1,64.2,7.1,2,3,Needs Improvement
STU-1515,3.5,72.2,59.2,66.5,9.1,5,6,Average
STU-1800,5.2,92.7,67.5,89.7,6.8,7,7,Good
STU-1307,3.4,76.0,63.4,86.4,4.7,4,5,Average
STU-1110,1.7,71.8,41.0,51.5,8.5,2,5,Needs Improvement
STU-1431,3.1,84.6,56.0,60.4,5.9,6,3,Average
STU-1078,1.3,68.0,36.7,59.9,8.0,1,2,Needs Improvement
STU-1085,2.5,47.7,48.7,44.8,6.5,3,4,Needs Improvement
STU-1287,2.5,71.5,51.7,74.9,6.6,4,6,Average
STU-1083,2.5,31.5,50.4,63.6,3.6,4,3,Needs Improvement
STU-1992,6.2,92.3,84.1,93.5,8.4,9,9,Excellent
STU-1790,4.2,80.9,74.3,94.3,7.1,6,7,Good
STU-1895,5.5,92.7,96.4,97.7,7.4,9,8,Excellent
STU-1399,2.5,63.6,61.8,74.6,7.3,4,5,Average
STU-1324,3.6,83.9,57.5,79.1,8.0,3,5,Average
STU-1520,3.9,77.4,66.9,69.9,7.0,5,6,Average
STU-1917,4.5,95.3,91.6,92.6,6.3,10,9,Excellent
STU-1923,4.8,90.0,84.7,98.5,6.9,8,8,Excellent
STU-1006,0.7,60.5,28.4,32.1,6.1,4,3,Needs Improvement
STU-1732,4.2,76.5,82.9,78.0,6.7,6,7,Good
STU-1466,3.3,67.0,60.0,83.7,8.3,5,5,Average
STU-1098,2.9,66.7,36.7,44.1,6.5,1,4,Needs Improvement
STU-1267,3.9,60.0,74.1,58.0,7.8,6,4,Average
STU-1358,3.5,78.6,71.8,70.0,5.9,3,4,Average
STU-1869,5.1,90.4,84.0,99.7,8.9,9,9,Excellent
STU-1799,4.2,72.0,85.1,97.0,6.5,6,6,Good
STU-1381,2.1,66.8,69.2,64.5,7.2,3,6,Average
STU-1632,2.9,83.9,65.0,95.9,6.0,8,8,Good
STU-1382,2.1,78.4,69.4,66.7,7.3,5,4,Average
STU-1491,3.6,84.8,68.7,72.1,9.3,6,6,Average
STU-1119,3.2,51.7,43.8,47.8,3.8,1,2,Needs Improvement
STU-1901,6.5,88.2,94.3,98.9,5.7,9,8,Excellent
STU-1251,1.0,79.4,60.4,56.5,7.2,7,5,Average
STU-1524,4.1,88.2,79.9,94.8,5.8,8,8,Good
STU-1010,0.7,67.8,61.6,50.9,7.3,3,2,Needs Improvement
STU-1197,0.6,38.6,62.7,48.9,4.8,4,2,Needs Improvement
STU-1604,5.6,86.0,85.1,78.1,7.6,9,7,Good
STU-1082,0.9,35.6,44.5,52.3,8.3,3,3,Needs Improvement
STU-1784,5.3,86.5,78.2,71.5,7.8,7,7,Good
STU-1588,5.0,92.9,73.3,97.1,5.6,9,6,Good
STU-1798,4.8,97.4,84.1,97.7,7.5,8,6,Good
STU-1240,2.4,86.9,62.7,84.0,8.4,6,4,Average
STU-1291,3.9,66.2,68.3,77.5,7.9,8,5,Average
STU-1212,2.2,47.4,43.6,62.8,5.2,5,2,Needs Improvement
STU-1718,5.2,85.7,73.6,85.8,5.5,9,6,Good
STU-1360,3.0,73.0,67.3,73.8,4.0,5,4,Average
STU-1450,2.7,77.5,68.3,66.6,5.7,5,4,Average
STU-1228,3.3,65.4,48.0,76.9,7.7,2,4,Average
STU-1951,7.1,92.6,86.6,96.2,7.0,10,7,Excellent
STU-1947,7.3,93.8,87.1,87.8,7.8,10,8,Excellent
STU-1797,4.5,83.8,72.1,74.3,6.4,7,5,Good
STU-1502,3.1,78.0,61.3,84.0,5.5,7,3,Average
STU-1465,3.4,59.1,69.2,75.7,7.4,6,5,Average
STU-1363,2.8,71.6,71.8,81.3,5.1,5,4,Average
STU-1469,4.3,75.1,65.6,78.0,5.6,5,2,Average
STU-1936,6.3,87.7,86.3,96.4,8.0,8,9,Excellent
STU-1429,3.4,64.1,67.3,71.6,4.3,4,5,Average
STU-1008,0.2,61.9,44.1,41.8,6.7,4,4,Needs Improvement
STU-1156,2.2,70.4,50.4,48.1,5.5,3,3,Needs Improvement
STU-1542,3.9,87.1,85.8,90.8,6.7,7,7,Good
STU-1441,4.3,75.1,51.2,62.9,6.4,5,5,Average
STU-1483,1.7,65.8,63.0,64.3,7.2,4,8,Average
STU-1423,2.3,88.0,71.5,70.9,8.0,3,4,Average
STU-1779,3.5,96.6,79.9,77.9,6.7,7,9,Good
STU-1950,5.9,90.1,98.1,96.9,6.7,9,9,Excellent
STU-1335,3.2,68.7,69.9,76.8,7.2,4,2,Average
STU-1577,3.6,72.0,73.1,93.2,7.6,6,7,Good
STU-1935,6.1,89.9,91.3,85.6,5.9,8,8,Excellent
STU-1568,6.1,83.6,71.4,89.3,7.2,7,7,Good
STU-1595,4.2,86.5,78.1,90.1,6.8,4,6,Good
STU-1531,3.4,78.1,79.7,73.1,8.1,7,10,Good
STU-1582,5.1,78.9,84.3,90.7,6.4,5,7,Good
STU-1708,5.2,87.4,85.5,92.1,8.1,7,5,Good
STU-1449,4.1,65.8,68.3,70.6,7.6,2,5,Average
STU-1454,3.7,63.5,70.4,64.0,5.7,3,4,Average
STU-1229,3.8,90.0,65.1,66.4,6.4,7,4,Average
STU-1353,4.0,81.1,59.7,73.3,7.4,5,6,Average
STU-1729,5.7,79.3,73.4,87.4,8.1,7,7,Good
STU-1213,2.0,69.2,33.8,25.6,3.5,4,2,Needs Improvement
STU-1080,2.0,62.1,43.9,44.7,5.2,3,2,Needs Improvement
STU-1149,0.7,40.4,50.2,67.7,8.3,2,4,Needs Improvement
STU-1303,3.9,69.9,63.4,64.1,4.0,5,8,Average
STU-1629,3.9,80.2,84.5,93.1,7.6,8,6,Good
STU-1778,4.7,82.4,74.2,81.5,6.6,8,7,Good
STU-1507,4.0,65.4,74.6,75.8,7.4,7,4,Average
STU-1343,3.1,62.4,58.5,64.0,6.8,5,4,Average
STU-1486,2.0,78.0,75.4,88.0,6.1,6,6,Average
STU-1712,4.9,88.3,65.0,79.2,8.0,7,7,Good
STU-1134,3.5,40.6,26.0,58.6,5.0,1,4,Needs Improvement
STU-1704,5.1,89.5,86.5,89.9,6.6,6,7,Good
STU-1312,3.4,90.0,65.0,71.3,6.2,5,7,Average
STU-1723,3.6,79.3,82.3,87.1,7.0,6,7,Good
STU-1630,5.1,85.2,83.1,86.3,6.7,7,8,Good
STU-1001,2.2,56.3,54.5,74.8,5.4,2,5,Needs Improvement
STU-1317,4.0,70.4,61.7,75.4,6.1,5,8,Average
STU-1707,4.9,81.6,88.5,93.8,6.4,5,6,Good
STU-1548,5.3,84.8,74.8,93.7,5.7,6,6,Good
STU-1873,5.6,98.3,100.0,92.0,8.0,8,9,Excellent
STU-1533,4.2,89.5,81.0,94.0,5.9,4,8,Good
STU-1478,4.8,79.6,63.3,63.8,8.1,4,7,Average
STU-1405,4.1,71.1,53.1,64.7,8.5,5,5,Average
STU-1173,1.8,58.5,41.0,42.1,3.7,5,1,Needs Improvement
STU-1126,3.4,51.8,50.2,51.8,7.6,6,2,Needs Improvement
STU-1395,2.2,79.0,69.4,65.8,7.7,4,5,Average
STU-1421,4.1,70.3,69.5,71.3,7.0,3,5,Average
STU-1553,4.4,81.6,79.9,97.7,7.2,8,5,Good
STU-1904,6.8,92.4,95.9,93.3,6.2,8,9,Excellent
STU-1091,0.3,76.4,46.4,45.6,4.3,1,4,Needs Improvement
STU-1940,6.2,94.6,95.2,92.9,6.6,9,7,Excellent
STU-1182,1.0,49.2,60.4,68.4,6.7,1,3,Needs Improvement
STU-1275,3.0,70.2,51.1,79.7,5.3,5,7,Average
STU-1896,7.0,94.3,94.4,98.4,7.9,8,9,Excellent
STU-1070,2.0,48.9,33.8,42.3,4.2,5,4,Needs Improvement
STU-1292,2.7,73.8,52.6,66.7,6.1,4,5,Average
STU-1132,2.0,52.6,49.9,68.1,4.3,3,2,Needs Improvement
STU-1301,3.5,66.8,58.9,83.1,5.2,7,4,Average
STU-1425,1.6,76.2,51.6,72.4,5.0,7,6,Average
STU-1327,4.3,66.2,61.7,77.2,7.5,5,4,Average
STU-1145,2.7,51.6,61.2,55.0,8.9,2,5,Needs Improvement
STU-1424,2.7,69.8,57.6,84.0,6.3,5,4,Average
STU-1581,5.5,87.7,72.3,89.1,6.1,6,7,Good
STU-1136,0.8,39.7,41.1,51.3,6.2,2,3,Needs Improvement
STU-1451,4.0,71.0,48.0,69.6,5.4,3,4,Average
STU-1165,3.2,47.8,38.1,19.7,4.8,1,5,Needs Improvement
STU-1029,1.0,59.8,48.6,34.9,6.3,3,4,Needs Improvement
STU-1774,4.3,81.4,83.3,82.4,7.7,6,5,Good
STU-1194,0.2,64.5,55.6,43.4,3.0,2,4,Needs Improvement
STU-1389,3.8,81.1,60.9,74.1,8.9,4,4,Average
STU-1853,8.6,94.5,93.8,99.3,7.8,8,9,Excellent
STU-1170,0.4,46.1,57.4,37.3,5.5,3,2,Needs Improvement
STU-1706,5.3,86.0,85.4,93.4,5.7,7,7,Good
STU-1141,2.5,63.1,38.3,51.3,5.8,1,5,Needs Improvement
STU-1174,1.2,49.4,56.9,47.6,7.7,2,3,Needs Improvement
STU-1007,1.7,54.4,33.2,41.2,5.1,4,3,Needs Improvement
STU-1746,5.3,87.7,75.0,83.7,5.9,9,7,Good
STU-1479,2.9,86.7,69.8,71.8,6.0,4,6,Average
STU-1074,1.8,55.1,38.9,43.3,6.9,3,2,Needs Improvement
STU-1911,6.5,93.2,95.0,99.5,7.3,9,9,Excellent
STU-1814,3.1,88.0,71.7,98.1,7.6,6,6,Good
STU-1239,2.3,70.0,70.9,77.9,6.3,4,5,Average
STU-1146,2.0,50.2,43.2,47.2,6.4,3,2,Needs Improvement
STU-1793,4.4,76.0,90.0,90.0,6.6,8,6,Good
STU-1235,5.1,65.5,65.2,85.7,6.5,5,4,Average
STU-1221,3.2,88.2,76.6,68.9,5.9,6,4,Average
STU-1924,5.1,93.3,92.7,90.8,8.2,8,8,Excellent
STU-1501,4.3,69.0,65.3,73.5,6.0,3,5,Average
STU-1133,2.9,39.7,42.4,57.7,8.1,3,2,Needs Improvement
STU-1991,5.8,97.4,91.1,95.0,8.3,9,10,Excellent
STU-1775,4.2,78.9,78.2,79.3,8.0,7,7,Good
STU-1186,1.7,69.0,45.1,56.0,6.3,2,4,Needs Improvement
STU-1042,2.3,61.4,41.8,48.9,5.1,2,4,Needs Improvement
STU-1697,3.6,87.4,74.4,80.4,5.8,7,6,Good
STU-1109,2.2,60.2,39.4,62.5,4.9,3,6,Needs Improvement
STU-1589,4.6,74.7,75.3,80.2,6.5,7,8,Good
STU-1057,0.6,80.0,59.8,45.0,3.2,5,3,Needs Improvement
STU-1406,2.9,89.2,76.4,88.0,6.4,5,3,Average
STU-1443,2.4,84.2,72.3,78.3,6.4,6,4,Average
STU-1758,5.1,84.7,76.1,92.6,7.7,6,8,Good
STU-1998,4.3,88.7,95.9,94.0,6.9,7,8,Excellent
STU-1025,1.6,49.0,39.1,39.8,5.7,3,3,Needs Improvement
STU-1468,3.8,72.3,58.9,80.9,7.5,4,7,Average
STU-1540,4.0,75.4,80.8,75.1,5.9,4,7,Good
